Timestamp,Date,Employee ID,Location,Department,Reservations - No of Booking Requests Processed ,Reservations - No of Confirmations Updated,Reservations - No of Cancellations ,Reservations - No. of Amendments Made ,Reservations - No of Reconfirmations Made ,Reservations - Remarks ,Taj/Bhutan - No. of Bhutan Air Booking Processed ,Taj/Bhutan - No of Confirmed Bhutan Air Tickets ,Taj/Bhutan - No of Taj Hotels Booking Processed ,Taj/Bhutan - No of Confirmed bookings ,Taj/Bhutan - No of Cancellations ,Taj/Bhutan - No of Amendments made,Taj/Bhutan - No of Reconfirmations made,Taj/Bhutan - Remarks ,Sales Online - No of Enquiries Received ,Sales Online - No of Conversions ,Sales Online - No of Follow‑Ups Taken ,Sales Online - No of Cancellations ,Sales Online - Remarks ,Sales Group - No of Enquiries Received ,Sales Group - No of Conversions Made ,Sales Group - No of Follow‑Ups Taken ,Sales Group - No of Cancellations ,Sales Group - No of Amendments Made ,Sales Group - Remarks ,IT - No of Entries Made ,IT - No. of Amendments Made ,IT - No of Calls/Emails Made ,IT - No of Creatives Made ,IT - Remarks ,HR - Number of Interviews Taken ,HR - Number of Job Offers Extended ,HR - How many Leave Requests Received Today ,HR - Number of Employee Grievances Addressed ,HR - Number of Salary Processing ,HR - Payroll Processing ,HR - Were any Exit Interviews Conducted Today ,HR - Were any Retention Efforts Made (at risk of leaving) ,HR - Remarks ,Accounts - Number of Customer Payments Processed ,Accounts - Number of Tax Filings Prepared/Reviewed ,Accounts - Number of transactions recorded in the accounting system,Accounts - Number of vendor invoices processed,Accounts - Remarks ,Graphic Designer - Give a summary for the day,Others - Give a summary for the day
14/04/2025 18:01:07,14/04/2025,NHL/128,Kolkata,IT,,,,,,,,,,,,,,,,,,,,,,,,,,158,,1,,Chennai & Pondicherry cards from Avishek Scanned & 1 email to Bizconnect,,,,,,,,,,,,,,,,
14/04/2025 18:38:04,14/04/2025,NHL/010,Kolkata,IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,
14/04/2025 18:41:23,14/04/2025,T8,Kolkata,ACCOUNTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Drafted the Notice for Board Meetings held in Neptune Tours & Travels Private 
Limited for the last three Financial Years.",,
14/04/2025 18:51:33,14/04/2025,T5,Kolkata,RESERVATION,0,0,0,0,24,Provided guest contact no to 3 hotels.....5th apr sunday sorted a file problem of tista majumder(TSM 1294707),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/04/2025 18:55:13,14/04/2025,T4,Kolkata,Bhutan Air Ticket & Taj Hotels,,,,,,,1,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/04/2025 18:55:32,14/04/2025,NHL/240,Kolkata,Sales(Online),,,,,,,,,,,,,,,1,0,2,0,"I Have got leads from online
ONLINE LEAD FOR ALL DESTINATION - 4
USEFULL(AGENT)-1
NOT USEFULL -3

ONLINE LEAD FOR BHUTAN - 7
USEFULL(AGENT)-4
NOT USEFULL -3

CONTAIN WRITTING - ASSAM HISTORY ",,,,,,,,,,,,,,,,,,,,,,,,,,,
14/04/2025 19:01:45,14/04/2025,NHL/232,Kolkata,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,1,0,4,No,No,"1. Prepare lunch list,2. Mail to 6 departments for Daily work submission(also discuss with employees about that),3.Solving software problems with the coordinator for sending payslips to employees,4. Follow-up phone for an employee,5. Follow up for Insurance(Jaipur Office),6. Follow up for the DBT amount,7. Mail to GTPL for revised quotation of 60/70 MBPS,7. Prepare an Excel sheet for ordering T-shirts,8. Mail to Shrestha for create new ID,9. Checking extra duty of Transport department.10. Discussion with Sir about Appraisal,11. Prepare B2B Mice attendance sheet,12. Prepare attendance sheet.",,,,,,,
14/04/2025 19:02:49,14/04/2025,NHL/247,Kolkata,Sales(Group),,,,,,,,,,,,,,,,,,,,4,0,6,,4,,,,,,,,,,,,,,,,,,,,,,
14/04/2025 19:21:22,14/04/2025,NHL/209,Kolkata,Sales(Group),,,,,,,,,,,,,,,,,,,,3,0,25,,3,I got 3 query today & 02 give it to Arijit & 01 done by me. Also we called several hotels to get Group Rate.,,,,,,,,,,,,,,,,,,,,,
14/04/2025 19:28:35,14/04/2025,NHL/256,Kolkata,Sales(Online),,,,,,,,,,,,,,,4,0,5,0,"14/4/2025
Query Received - 4
Agent - 3
Not useful - 1

BHUTAN LEAD
14/4/2025
Query Received - 6
Agent - 2
Not useful - 4

Done meeting with Webingo regarding the hotel backend

Content work not done today, 3 changes done 

",,,,,,,,,,,,,,,,,,,,,,,,,,,
